date,tic,tev_ufcf,tev_total_rev,mktcap_total_rev,CDLBREAKAWAY,high_price,low_price,open_price,volume_change_yesterday,lstm_day1,lstm_day2,ind_code,actual_monthly_return
02-01-2008,NVDA,24.54750093,4.368428067,4.859406214,0,8.53,7.572799,8.14,75.1996205,8.20131674,8.380927114,453010,-21.17540139
03-01-2008,NVDA,24.33242435,4.330153435,4.821131582,0,8.3,7.513152,8.1575,-1.781795731,8.176324047,8.351591261,453010,-25.52671756
04-01-2008,NVDA,22.05757589,3.925325592,4.416303739,0,7.9425,6.882277,7.45,54.8589004,7.627053722,7.76731099,453010,-18.96666667
07-01-2008,NVDA,19.49320127,3.468974206,3.959952353,0,7.55,6.171108,6.5875,36.77728884,6.978707507,7.106135966,453010,-8.73605948
08-01-2008,NVDA,19.96471531,3.552883977,4.043862124,0,6.7625,6.301872,6.605,9.948014644,7.125535376,7.225169349,453010,-9.028030579
20-05-2010,NVDA,15.5566355,1.459911493,1.935016616,0,3.0975,,3.0025,36.59896483,3.093411593,3.128662072,453010,-7.223113965
21-05-2010,NVDA,122.9510153,1.512900423,1.988005547,0,3.025,2.92038,3.025,-5.261556294,3.122053234,3.156956337,453010,-8.169677926
24-05-2010,NVDA,118.2551818,1.455118644,1.930223767,0,3.1725,2.835498,3.08,-37.84682324,3.112487219,3.146001899,453010,-10.11326861
25-05-2010,NVDA,122.4433576,1.506653745,1.981758868,0,2.9925,2.911203,2.9625,45.40816572,3.132253802,3.164888786,453010,-12.68715524
26-05-2010,NVDA,123.2048441,1.516023763,1.991128886,0,3.3,2.924968,3.1775,2.920484185,3.16228007,3.194380566,453010,-12.94117647
28-03-2013,NVDA,11.75499284,0.980465587,1.846432716,0,3.155,2.980486,3.1325,36.99647665,3.122717345,3.071514919,453010,7.326578332
01-04-2013,NVDA,11.03031308,0.92002118,,0,3.2,2.882918,3.08,,3.044255192,2.998848346,453010,9.991941982
02-04-2013,NVDA,10.87074961,0.906712241,1.77267937,0,3.105,2.851556,3.05,-16.10159754,2.984275603,2.940571473,453010,12.50509165
03-04-2013,NVDA,10.61277025,0.885194585,1.751161714,0,3.065,2.816943,3.01,-4.945299259,2.944404143,2.900546935,453010,14.38231898
04-04-2013,NVDA,10.81880746,0.902379827,1.768346956,0,3.0225,2.844587,3.0125,-16.54345313,2.964323535,2.917480404,453010,12.9440588
14-08-2015,NVDA,12.12731803,2.002407361,2.649754462,0,5.875,5.701181,5.84,-22.47691684,5.938514237,5.94570746,453010,-1.869158879
17-08-2015,NVDA,12.12731803,1.985522775,2.632869875,0,5.875,5.664853,5.775,27.59299259,5.897554683,5.913291586,453010,-0.342026507
18-08-2015,NVDA,12.12731803,1.950627962,2.597975063,0,5.805,5.613171,5.725,4.82084565,5.82462073,5.847430996,453010,0.909878683
19-08-2015,NVDA,12.64325352,1.94530733,2.592654431,0,5.7625,5.591283,5.685,-13.16992833,5.79726121,5.821869917,453010,2.348847325
20-08-2015,NVDA,12.03490231,1.851705626,2.499052727,0,5.6825,5.389423,5.5125,71.27086983,5.568448607,5.603569193,453010,3.294223827
02-01-2018,NVDA,75.16135484,12.9790664,13.45879011,0,48.945,49.326298,48.625,27.02199821,47.35279151,46.71346853,453010,17.1407073
03-01-2018,NVDA,,13.8648418,14.34456551,0,51.025,52.57265,50.9375,,48.50724901,47.70868711,453010,0.578905257
04-01-2018,NVDA,,13.94045677,14.42018048,0,53.94,52.849777,53.1725,-36.23411999,48.46468249,47.62085862,453010,5.613558687
05-01-2018,NVDA,81.4363871,14.06265597,14.54237968,0,53.5475,53.297638,52.77,-0.539168219,48.70197172,47.81920712,453010,6.220984215
08-01-2018,NVDA,84.01677419,14.50824421,14.98796791,0,55.1,54.930714,54.645,51.90145555,49.25300422,48.2816146,453010,-2.018018018
